,condition
8254,0
8255,2
8256,0
8257,2
8258,1
8259,0
8260,1
8261,1
8262,1
8263,1
8264,2
8265,1
8266,1
8267,0
8268,1
8269,1
8270,0
8271,0
8272,1
8273,1
8274,0
8275,1
8276,1
8277,0
8278,2
8279,2
8280,0
8281,1
8282,2
8283,2
8284,1
8285,0
8286,0
8287,2
8288,2
8289,0
8290,1
8291,0
8292,1
8293,1
8294,1
8295,2
8296,0
8297,1
8298,0
8299,1
8300,1
8301,2
8302,1
8303,0
8304,0
8305,1
8306,1
8307,1
8308,1
8309,1
8310,0
8311,0
8312,2
8313,0
8314,2
8315,2
8316,1
8317,1
8318,0
8319,0
8320,1
8321,1
8322,1
8323,1
8324,1
8325,1
8326,0
8327,0
8328,0
8329,2
8330,0
8331,2
8332,1
8333,1
8334,0
8335,2
8336,0
8337,0
8338,0
8339,1
8340,0
8341,0
8342,0
8343,0
8344,0
8345,1
8346,1
8347,1
8348,1
8349,1
8350,1
8351,1
8352,0
8353,1
8354,1
8355,1
8356,2
8357,2
8358,0
8359,1
8360,0
8361,1
8362,1
8363,1
8364,1
8365,1
8366,0
8367,1
8368,0
8369,1
8370,2
8371,0
8372,2
8373,1
8374,1
8375,1
8376,1
8377,0
8378,2
8379,0
8380,1
8381,1
8382,1
8383,1
8384,0
8385,1
8386,1
8387,1
8388,0
8389,0
8390,0
8391,1
8392,0
8393,0
8394,0
8395,0
8396,0
8397,0
8398,2
8399,1
8400,1
8401,1
8402,1
8403,0
8404,1
8405,2
8406,2
8407,0
8408,0
8409,0
8410,1
8411,1
8412,2
8413,1
8414,0
8415,1
8416,1
8417,1
8418,1
8419,1
8420,1
8421,1
8422,0
8423,2
8424,2
8425,1
8426,1
8427,0
8428,1
8429,1
8430,0
8431,2
8432,2
8433,1
8434,0
8435,2
8436,1
8437,0
8438,1
8439,0
8440,1
8441,2
8442,0
8443,2
8444,2
8445,1
8446,0
8447,1
8448,1
8449,1
8450,1
8451,1
8452,1
8453,0
8454,1
8455,2
8456,1
8457,0
8458,1
8459,1
8460,0
8461,1
8462,1
8463,1
8464,0
8465,1
8466,2
8467,1
8468,2
8469,0
8470,1
8471,2
8472,1
8473,2
8474,1
8475,0
8476,1
8477,0
8478,2
8479,2
8480,0
8481,2
8482,1
8483,2
8484,2
8485,0
8486,1
8487,1
8488,0
8489,1
8490,1
8491,1
8492,1
8493,1
8494,0
8495,2
8496,1
8497,0
8498,2
8499,0
8500,1
8501,1
8502,0
8503,0
8504,2
8505,0
8506,0
8507,1
8508,0
8509,2
8510,1
8511,0
8512,2
8513,1
8514,1
8515,1
8516,0
8517,1
8518,1
8519,1
8520,0
8521,1
8522,2
8523,2
8524,2
8525,1
8526,1
8527,1
8528,1
8529,1
8530,2
8531,0
8532,1
8533,1
8534,1
8535,1
8536,2
8537,0
8538,1
8539,0
8540,1
8541,2
8542,0
8543,1
8544,0
8545,1
8546,1
8547,0
8548,0
8549,0
8550,2
8551,0
8552,1
8553,2
8554,1
8555,0
8556,1
8557,0
8558,0
8559,1
8560,0
8561,1
8562,1
8563,1
8564,1
8565,2
8566,1
8567,0
8568,1
8569,1
8570,1
8571,1
8572,1
8573,2
8574,0
8575,1
8576,1
8577,1
8578,1
8579,2
8580,0
8581,2
8582,0
8583,2
8584,1
8585,2
8586,2
8587,1
8588,0
8589,2
8590,1
8591,1
8592,0
8593,1
8594,0
8595,1
8596,1
8597,0
8598,0
8599,1
8600,2
8601,0
8602,1
8603,1
8604,1
8605,0
8606,1
8607,1
8608,2
8609,2
8610,2
8611,2
8612,1
8613,2
8614,0
8615,1
8616,1
8617,0
8618,1
8619,1
8620,1
8621,0
8622,1
8623,0
8624,0
8625,1
8626,1
8627,2
8628,1
8629,1
8630,1
8631,1
8632,1
8633,1
8634,2
8635,1
8636,1
8637,1
8638,1
8639,1
8640,1
8641,1
8642,1
8643,2
8644,0
8645,0
8646,2
8647,1
8648,1
8649,1
8650,2
8651,1
8652,1
8653,0
8654,1
8655,1
8656,2
8657,0
8658,0
8659,1
8660,1
8661,2
8662,2
8663,1
8664,0
8665,2
8666,1
8667,1
8668,1
8669,1
8670,2
8671,1
8672,2
8673,1
8674,1
8675,1
8676,2
8677,1
8678,0
8679,1
8680,0
8681,1
8682,1
8683,1
8684,1
8685,1
8686,1
8687,2
8688,0
8689,1
8690,1
8691,1
8692,1
8693,1
8694,1
8695,1
8696,1
8697,1
8698,2
8699,1
8700,1
8701,0
8702,1
8703,2
8704,1
8705,0
8706,1
8707,0
8708,1
8709,1
8710,0
8711,0
8712,1
8713,0
8714,0
8715,1
8716,1
8717,2
8718,0
8719,2
8720,0
8721,1
8722,2
8723,2
8724,0
8725,2
8726,1
8727,1
8728,1
8729,1
8730,0
8731,0
8732,1
8733,0
8734,1
8735,1
8736,1
8737,0
8738,1
8739,1
8740,1
8741,2
8742,1
8743,1
8744,1
8745,1
8746,0
8747,0
8748,1
8749,0
8750,2
8751,1
8752,2
8753,0
8754,2
8755,0
8756,0
8757,1
8758,0
8759,1
8760,1
8761,1
8762,0
8763,1
8764,0
8765,0
8766,1
8767,0
8768,0
8769,2
8770,1
8771,1
8772,0
8773,0
8774,2
8775,1
8776,1
8777,0
8778,1
8779,0
8780,0
8781,1
8782,2
8783,2
8784,1
8785,0
8786,0
8787,1
8788,1
8789,2
8790,0
8791,1
8792,1
8793,1
8794,1
8795,1
8796,0
8797,2
8798,0
8799,0
8800,1
8801,0
8802,1
8803,2
8804,0
8805,2
8806,2
8807,1
8808,0
8809,2
8810,2
8811,1
8812,1
8813,1
8814,1
8815,2
8816,2
8817,0
8818,2
8819,1
8820,1
8821,1
8822,1
8823,1
8824,1
8825,0
8826,2
8827,0
8828,0
8829,1
8830,0
8831,2
8832,0
8833,0
8834,0
8835,0
8836,1
8837,1
8838,1
8839,0
8840,2
8841,1
8842,1
8843,1
8844,0
8845,1
8846,0
8847,1
8848,1
8849,1
8850,0
8851,1
8852,1
8853,2
8854,0
8855,0
8856,0
8857,0
8858,1
8859,1
8860,1
8861,1
8862,1
8863,0
8864,1
8865,0
8866,2
8867,2
8868,0
8869,2
8870,1
8871,1
8872,1
8873,1
8874,1
8875,0
8876,0
8877,1
8878,1
8879,0
8880,0
8881,0
8882,1
8883,0
8884,2
8885,0
8886,1
8887,0
8888,0
8889,0
8890,0
8891,1
8892,0
8893,1
8894,1
8895,2
8896,1
8897,0
8898,1
8899,1
8900,1
8901,0
8902,1
8903,2
8904,1
8905,0
8906,2
8907,0
8908,1
8909,0
8910,1
8911,0
8912,0
8913,0
8914,0
8915,1
8916,1
8917,2
8918,0
8919,0
8920,1
8921,1
8922,0
8923,1
8924,1
8925,1
8926,1
8927,1
8928,1
8929,1
8930,1
8931,1
8932,1
8933,1
8934,0
8935,0
8936,1
8937,0
8938,0
8939,1
8940,1
8941,1
8942,1
8943,1
8944,0
8945,2
8946,2
8947,1
8948,1
8949,1
8950,2
8951,1
8952,1
8953,1
8954,1
8955,1
8956,1
8957,0
8958,1
8959,1
8960,1
8961,2
8962,1
8963,1
8964,2
8965,1
8966,0
8967,1
8968,1
8969,2
8970,0
8971,1
8972,2
8973,1
8974,1
8975,2
8976,0
8977,2
8978,0
8979,0
8980,1
8981,1
8982,1
8983,1
8984,0
8985,0
8986,1
8987,1
8988,0
8989,1
8990,1
8991,0
8992,1
8993,1
8994,1
8995,1
8996,1
8997,1
8998,1
8999,0
9000,2
9001,1
9002,1
9003,1
9004,0
9005,0
9006,1
9007,1
9008,1
9009,0
9010,1
9011,0
9012,1
9013,1
9014,0
9015,1
9016,1
9017,1
9018,1
9019,2
9020,1
9021,1
9022,0
9023,1
9024,2
9025,0
9026,0
9027,1
9028,1
9029,1
9030,1
9031,1
9032,1
9033,1
9034,0
9035,0
9036,2
9037,0
9038,0
9039,0
9040,1
9041,1
9042,1
9043,1
9044,1
9045,0
9046,2
9047,1
9048,1
9049,1
9050,0
9051,1
9052,1
9053,1
9054,1
9055,1
9056,1
9057,0
9058,0
9059,1
9060,2
9061,2
9062,2
9063,1
9064,0
9065,1
9066,2
9067,1
9068,2
9069,1
9070,0
9071,0
9072,1
9073,2
9074,0
9075,0
9076,1
9077,1
9078,0
9079,1
9080,1
9081,1
9082,1
9083,1
9084,1
9085,2
9086,1
9087,1
9088,1
9089,2
9090,0
9091,2
9092,1
9093,1
9094,0
9095,1
9096,1
9097,1
9098,1
9099,0
9100,0
9101,2
9102,1
9103,0
9104,1
9105,0
9106,0
9107,1
9108,0
9109,1
9110,1
9111,0
9112,1
9113,1
9114,0
9115,1
9116,1
9117,2
9118,1
9119,0
9120,1
9121,1
9122,1
9123,0
9124,0
9125,1
9126,0
9127,0
9128,0
9129,0
9130,1
9131,2
9132,0
9133,1
9134,2
9135,0
9136,2
9137,1
9138,1
9139,1
9140,1
9141,1
9142,0
9143,1
9144,1
9145,0
9146,1
9147,1
9148,1
9149,1
9150,1
9151,2
9152,1
9153,2
9154,1
9155,1
9156,1
9157,1
9158,1
9159,2
9160,0
9161,1
9162,1
9163,1
9164,1
9165,1
9166,1
9167,0
9168,0
9169,0
9170,2
9171,1
9172,1
9173,1
9174,1
9175,2
9176,1
9177,0
9178,1
9179,1
9180,2
9181,0
9182,2
9183,2
9184,1
9185,1
9186,0
9187,1
9188,0
9189,1
9190,1
9191,1
9192,0
9193,0
9194,1
9195,0
9196,2
9197,0
9198,0
9199,2
9200,1
9201,2
9202,2
9203,1
9204,2
9205,0
9206,1
9207,0
9208,1
9209,1
9210,1
9211,1
9212,0
9213,2
9214,1
9215,0
9216,0
9217,1
9218,0
9219,1
9220,2
9221,0
9222,1
9223,2
9224,1
9225,1
9226,1
9227,0
9228,2
9229,2
9230,1
9231,1
9232,0
9233,1
9234,2
9235,0
9236,0
9237,1
9238,0
9239,1
9240,1
9241,0
9242,0
9243,0
9244,2
9245,1
9246,1
9247,1
9248,0
9249,2
9250,1
9251,1
9252,2
9253,1
9254,1
9255,1
9256,1
9257,1
9258,0
9259,0
9260,1
9261,1
9262,0
9263,1
9264,0
9265,1
9266,0
9267,2
9268,1
9269,0
9270,0
9271,2
9272,0
9273,1
9274,1
9275,2
9276,1
9277,2
9278,0
9279,0
9280,1
9281,2
9282,1
9283,1
9284,1
9285,0
9286,2
9287,0
9288,1
9289,1
9290,0
9291,2
9292,1
9293,2
9294,2
9295,1
9296,2
9297,1
9298,0
9299,0
9300,2
9301,2
9302,1
9303,1
9304,2
9305,0
9306,0
9307,2
9308,1
9309,1
9310,0
9311,1
9312,0
9313,1
9314,0
9315,0
9316,1
9317,0
9318,2
9319,0
9320,2
9321,2
9322,2
9323,2
9324,2
9325,1
9326,2
9327,0
9328,2
9329,1
9330,0
9331,0
9332,1
9333,2
9334,1
9335,1
9336,2
9337,2
9338,0
9339,1
9340,1
9341,1
9342,2
9343,1
9344,2
9345,1
9346,2
9347,1
9348,0
9349,1
9350,1
9351,1
9352,0
9353,1
9354,0
9355,2
9356,1
9357,1
9358,2
9359,1
9360,1
9361,0
9362,1
9363,1
9364,2
9365,0
9366,2
9367,1
9368,1
9369,2
9370,0
9371,1
9372,1
9373,0
9374,2
9375,1
9376,0
9377,2
9378,2
9379,0
9380,1
9381,0
9382,1
9383,0
9384,0
9385,1
9386,0
9387,1
9388,0
9389,1
9390,2
9391,1
9392,1
9393,0
9394,0
9395,1
9396,2
9397,1
9398,1
9399,1
9400,1
9401,0
9402,2
9403,1
9404,1
9405,1
9406,2
9407,0
9408,1
9409,1
9410,1
9411,0
9412,1
9413,1
9414,1
9415,1
9416,0
9417,1
9418,1
9419,1
9420,1
9421,2
9422,1
9423,2
9424,2
9425,1
9426,1
9427,0
9428,0
9429,1
9430,1
9431,1
9432,1
9433,1
9434,0
9435,1
9436,0
9437,1
9438,1
9439,1
9440,1
9441,1
9442,0
9443,0
9444,1
9445,1
9446,1
9447,2
9448,1
9449,0
9450,2
9451,0
9452,0
9453,1
9454,1
9455,0
9456,1
9457,1
9458,1
9459,1
9460,2
9461,1
9462,2
9463,1
9464,1
9465,2
9466,0
9467,2
9468,2
9469,1
9470,0
9471,1
9472,1
9473,0
9474,0
9475,2
9476,0
9477,1
9478,1
9479,2
9480,1
9481,2
9482,2
9483,0
9484,2
9485,1
9486,2
9487,1
9488,0
9489,2
9490,1
9491,2
9492,1
9493,1
9494,1
9495,2
9496,1
9497,1
9498,1
9499,1
9500,2
9501,0
9502,1
9503,2
9504,1
9505,0
9506,1
9507,0
9508,0
9509,2
9510,1
9511,1
9512,0
9513,1
9514,2
9515,1
9516,1
9517,1
9518,0
9519,1
9520,1
9521,1
9522,1
9523,1
9524,1
9525,1
9526,1
9527,1
9528,0
9529,2
9530,0
9531,1
9532,2
9533,1
9534,0
9535,0
9536,1
9537,2
9538,1
9539,1
9540,0
9541,1
9542,1
9543,1
9544,1
9545,1
9546,1
9547,0
9548,1
9549,1
9550,0
9551,1
9552,1
9553,0
9554,2
9555,1
9556,0
9557,0
9558,0
9559,1
9560,2
9561,0
9562,0
9563,1
9564,2
9565,0
9566,1
9567,2
9568,1
9569,0
9570,1
9571,2
9572,1
9573,2
9574,1
9575,1
9576,0
9577,0
9578,0
9579,1
9580,1
9581,0
9582,0
9583,1
9584,1
9585,1
9586,1
9587,1
9588,1
9589,2
9590,1
9591,1
9592,1
9593,0
9594,1
9595,0
9596,0
9597,1
9598,0
9599,2
9600,0
9601,1
9602,1
9603,1
9604,1
9605,0
9606,0
9607,1
9608,1
9609,0
9610,1
9611,2
9612,1
9613,1
9614,1
9615,0
9616,2
9617,1
9618,0
9619,1
9620,1
9621,1
9622,2
9623,1
9624,1
9625,1
9626,1
9627,1
9628,0
9629,0
9630,2
9631,2
9632,1
9633,1
9634,1
9635,0
9636,1
9637,2
9638,1
9639,1
9640,1
9641,1
9642,1
9643,1
9644,1
9645,1
9646,1
9647,2
9648,1
9649,1
9650,1
9651,1
9652,1
9653,2
9654,1
9655,2
9656,0
9657,1
9658,0
9659,1
9660,1
9661,1
9662,0
9663,0
9664,1
9665,2
9666,1
9667,1
9668,1
9669,1
9670,1
9671,2
9672,0
9673,1
9674,1
9675,1
9676,1
9677,0
9678,0
9679,2
9680,1
9681,1
9682,1
9683,0
9684,1
9685,1
9686,1
9687,1
9688,1
9689,1
9690,0
9691,0
9692,1
9693,0
9694,1
9695,1
9696,1
9697,2
9698,0
9699,1
9700,0
9701,1
9702,0
9703,0
9704,0
9705,0
9706,1
9707,2
9708,0
9709,1
9710,1
9711,0
9712,1
9713,1
9714,0
9715,1
9716,1
9717,1
9718,1
9719,2
9720,2
9721,2
9722,2
9723,1
9724,0
9725,2
9726,1
9727,0
9728,0
9729,1
9730,1
9731,1
9732,0
9733,2
9734,1
9735,1
9736,0
9737,0
9738,1
9739,1
9740,1
9741,2
9742,1
9743,1
9744,1
9745,1
9746,1
9747,0
9748,0
9749,1
9750,0
9751,1
9752,0
9753,1
9754,0
9755,1
9756,1
9757,1
9758,1
9759,2
9760,0
9761,1
9762,2
9763,1
9764,2
9765,0
9766,1
9767,1
9768,0
9769,0
9770,1
9771,1
9772,2
9773,0
9774,1
9775,2
9776,1
9777,1
9778,1
9779,1
9780,1
9781,0
9782,1
9783,1
9784,1
9785,1
9786,1
9787,1
9788,2
9789,0
9790,0
9791,0
9792,1
9793,2
9794,0
9795,2
9796,1
9797,1
9798,1
9799,0
9800,1
9801,1
9802,2
9803,2
9804,1
9805,1
9806,0
9807,1
9808,0
9809,1
9810,1
9811,2
9812,2
9813,1
9814,2
9815,1
9816,0
9817,0
9818,1
9819,1
9820,2
9821,1
9822,1
9823,1
9824,2
9825,1
9826,1
9827,1
9828,0
9829,1
9830,0
9831,1
9832,1
9833,0
9834,1
9835,1
9836,2
9837,0
9838,0
9839,1
9840,2
9841,1
9842,1
9843,0
9844,1
9845,1
9846,1
9847,0
9848,0
9849,2
9850,2
9851,1
9852,0
9853,1
9854,1
9855,0
9856,1
9857,1
9858,2
9859,0
9860,1
9861,1
9862,1
9863,2
9864,1
9865,0
9866,1
9867,1
9868,1
9869,1
9870,1
9871,1
9872,1
9873,2
9874,1
9875,1
9876,2
9877,0
9878,2
9879,1
9880,0
9881,1
9882,0
9883,2
9884,0
9885,0
9886,1
9887,0
9888,1
9889,1
9890,1
9891,1
9892,0
9893,2
9894,1
9895,2
9896,0
9897,0
9898,1
9899,2
9900,2
9901,1
9902,0
9903,1
9904,0
9905,1
9906,1
9907,2
9908,1
9909,0
9910,2
9911,1
9912,1
9913,0
9914,2
9915,0
9916,1
9917,1
9918,0
9919,1
9920,1
9921,1
9922,1
9923,0
9924,1
9925,2
9926,2
9927,2
9928,1
9929,1
9930,2
9931,1
9932,1
9933,1
9934,1
9935,0
9936,1
9937,1
9938,1
9939,0
9940,1
9941,1
9942,1
9943,1
9944,0
9945,0
9946,1
9947,1
9948,0
9949,1
9950,1
9951,1
9952,1
9953,0
9954,0
9955,0
9956,1
9957,1
9958,0
9959,1
9960,1
9961,1
9962,1
9963,0
9964,0
9965,0
9966,1
9967,1
9968,1
9969,2
9970,1
9971,0
9972,1
9973,0
9974,1
9975,1
9976,0
9977,0
9978,1
9979,1
9980,1
9981,0
9982,1
9983,0
9984,1
9985,1
9986,1
9987,2
9988,0
9989,2
9990,2
9991,1
9992,0
9993,0
9994,0
9995,0
9996,2
9997,1
9998,0
9999,1
10000,0
10001,1
10002,0
10003,2
10004,2
10005,1
10006,0
10007,1
10008,1
10009,1
10010,1
10011,1
10012,0
10013,1
10014,1
10015,0
10016,1
10017,1
10018,2
10019,1
10020,1
10021,1
10022,0
10023,1
10024,1
10025,2
10026,1
10027,0
10028,1
10029,0
10030,1
10031,2
10032,1
10033,2
10034,2
10035,1
10036,1
10037,1
10038,0
10039,1
10040,0
10041,1
10042,0
10043,0
10044,1
10045,0
10046,2
10047,1
10048,1
10049,1
10050,0
10051,1
10052,1
10053,1
10054,2
10055,2
10056,1
10057,2
10058,0
10059,1
10060,2
10061,1
10062,2
10063,1
10064,0
10065,1
10066,0
10067,1
10068,1
10069,0
10070,1
10071,0
10072,1
10073,1
10074,1
10075,1
10076,0
10077,1
10078,1
10079,1
10080,0
10081,0
10082,0
10083,1
10084,1
10085,1
10086,2
10087,1
10088,2
10089,2
10090,1
10091,2
10092,1
10093,1
10094,2
10095,1
10096,1
10097,1
10098,0
10099,1
10100,1
10101,0
10102,0
10103,0
10104,0
10105,1
10106,1
10107,2
10108,0
10109,0
10110,0
10111,1
10112,1
10113,0
10114,0
10115,1
10116,0
10117,0
10118,2
10119,0
10120,0
10121,0
10122,2
10123,2
10124,2
10125,0
10126,1
10127,1
10128,0
10129,2
10130,2
10131,1
10132,1
10133,0
10134,2
10135,1
10136,2
10137,1
10138,1
10139,1
10140,1
10141,1
10142,2
10143,2
10144,1
10145,0
10146,1
10147,1
10148,1
10149,1
10150,2
10151,1
10152,1
10153,1
10154,0
10155,1
10156,0
10157,1
10158,1
10159,0
10160,2
10161,0
10162,0
10163,0
10164,1
10165,1
10166,1
10167,1
10168,2
10169,0
10170,1
10171,1
10172,1
10173,2
10174,1
10175,1
10176,1
10177,0
10178,2
10179,2
10180,2
10181,1
10182,1
10183,1
10184,1
10185,1
10186,0
10187,2
10188,2
10189,1
10190,1
10191,0
10192,0
10193,1
10194,1
10195,1
10196,1
10197,0
10198,1
10199,0
10200,0
10201,2
10202,1
10203,0
10204,0
10205,2
10206,1
10207,0
10208,2
10209,1
10210,1
10211,1
10212,1
10213,0
10214,1
10215,1
10216,2
10217,2
10218,1
10219,0
10220,1
10221,1
10222,2
10223,1
10224,2
10225,1
10226,0
10227,0
10228,2
10229,1
10230,0
10231,0
10232,1
10233,0
10234,1
10235,1
10236,0
10237,0
10238,0
10239,1
10240,1
10241,1
10242,0
10243,0
10244,1
10245,1
10246,1
10247,0
10248,1
10249,1
10250,0
10251,1
10252,1
10253,0
10254,1
10255,1
10256,1
10257,1
10258,0
10259,1
10260,1
10261,2
10262,1
10263,1
10264,2
10265,1
10266,0
10267,2
10268,0
10269,2
10270,1
10271,1
10272,0
10273,1
10274,0
10275,1
10276,1
10277,2
10278,1
10279,1
10280,1
10281,0
10282,1
10283,2
10284,1
10285,0
10286,2
10287,1
10288,1
10289,0
10290,1
10291,1
10292,2
10293,1
10294,2
10295,2
10296,2
10297,0
10298,1
10299,1
10300,0
10301,1
10302,0
10303,1
10304,1
10305,1
10306,0
10307,1
10308,0
10309,0
10310,1
10311,2
10312,2
10313,0
10314,0
10315,2
10316,1
10317,2
10318,1
10319,1
10320,0
10321,1
10322,1
10323,1
10324,1
10325,0
10326,1
10327,1
10328,1
10329,2
10330,2
10331,1
10332,0
10333,1
10334,0
10335,1
10336,1
10337,0
10338,2
10339,1
10340,1
10341,1
10342,1
10343,1
10344,1
10345,1
10346,0
10347,1
10348,0
10349,1
10350,2
10351,2
10352,2
10353,1
10354,2
10355,1
10356,1
10357,0
10358,2
10359,1
10360,1
10361,2
10362,0
10363,2
10364,1
10365,0
10366,1
10367,2
10368,1
10369,0
10370,0
10371,1
10372,0
10373,0
10374,1
10375,0
10376,1
10377,1
10378,0
10379,0
10380,0
10381,0
10382,0
10383,1
10384,1
10385,2
10386,1
10387,0
10388,0
10389,1
10390,0
10391,1
10392,1
10393,1
10394,1
10395,1
10396,0
10397,0
10398,1
10399,2
10400,0
10401,1
10402,2
10403,1
10404,1
10405,0
10406,1
10407,2
10408,0
10409,1
10410,0
10411,1
10412,1
10413,1
10414,1
10415,1
10416,1
10417,0
10418,2
10419,2
10420,1
10421,1
10422,2
10423,2
10424,0
10425,1
10426,1
10427,1
10428,0
10429,1
10430,2
10431,1
10432,1
10433,1
10434,0
10435,1
10436,1
10437,0
10438,0
10439,1
10440,1
10441,0
10442,0
10443,1
10444,1
10445,1
10446,0
10447,2
10448,2
10449,0
10450,1
10451,2
10452,1
10453,1
10454,1
10455,1
10456,2
10457,0
10458,1
10459,1
10460,1
10461,1
10462,0
10463,1
10464,2
10465,1
10466,1
10467,1
10468,2
10469,1
10470,1
10471,1
10472,0
10473,0
10474,0
10475,1
10476,0
10477,1
10478,1
10479,2
10480,1
10481,2
10482,0
10483,0
10484,1
10485,1
10486,0
10487,2
10488,0
10489,1
10490,1
10491,2
10492,0
10493,1
10494,1
10495,1
10496,0
10497,0
10498,1
10499,2
10500,1
10501,1
10502,1
10503,0
10504,2
10505,1
10506,1
10507,1
10508,2
10509,1
10510,2
10511,1
10512,1
10513,2
10514,1
10515,1
10516,1
10517,1
10518,0
10519,1
10520,1
10521,1
10522,1
10523,2
10524,1
10525,1
10526,0
10527,0
10528,2
10529,0
10530,0
10531,2
10532,1
10533,0
10534,0
10535,2
10536,1
10537,0
10538,0
10539,0
10540,1
10541,0
10542,1
10543,1
10544,1
10545,2
10546,1
10547,0
10548,0
10549,0
10550,1
10551,1
10552,0
10553,1
10554,0
10555,1
10556,1
10557,1
10558,2
10559,1
10560,1
10561,0
10562,0
10563,0
10564,1
10565,1
10566,1
10567,1
10568,1
10569,0
10570,1
10571,2
10572,1
10573,2
10574,0
10575,1
10576,1
10577,2
10578,1
10579,2
10580,1
10581,1
10582,1
10583,0
10584,1
10585,2
10586,1
10587,1
10588,1
10589,1
10590,1
10591,2
10592,1
10593,1
10594,1
10595,1
10596,1
10597,0
10598,0
10599,1
10600,0
10601,1
10602,2
10603,2
10604,1
10605,1
10606,1
10607,1
10608,0
10609,1
10610,1
10611,0
10612,2
10613,0
10614,1
10615,0
10616,1
10617,1
10618,0
10619,1
10620,0
10621,0
10622,0
10623,2
10624,1
10625,1
10626,0
10627,1
10628,2
10629,0
10630,2
10631,0
10632,2
10633,1
10634,1
10635,0
10636,1
10637,1
10638,1
10639,0
10640,1
10641,2
10642,0
10643,2
10644,1
10645,2
10646,1
10647,1
10648,1
10649,0
10650,1
10651,2
10652,1
10653,1
10654,1
10655,1
10656,2
10657,1
10658,1
10659,0
10660,1
10661,2
10662,1
10663,1
10664,1
10665,0
10666,1
10667,2
10668,0
10669,1
10670,2
10671,2
10672,1
10673,1
10674,1
10675,0
10676,0
10677,2
10678,1
10679,1
10680,1
10681,0
10682,1
10683,0
10684,1
10685,0
10686,2
10687,1
10688,1
10689,1
10690,2
10691,0
10692,1
10693,1
10694,0
10695,1
10696,1
10697,0
10698,1
10699,0
10700,1
10701,2
10702,0
10703,2
10704,2
10705,0
10706,1
10707,1
10708,1
10709,2
10710,1
10711,0
10712,0
10713,1
10714,2
10715,1
10716,0
10717,0
10718,2
10719,0
10720,2
10721,1
10722,0
10723,2
10724,1
10725,0
10726,1
10727,2
10728,1
10729,0
10730,1
10731,0
10732,2
10733,0
10734,0
10735,0
10736,1
10737,1
10738,2
10739,1
10740,2
10741,1
10742,0
10743,2
10744,0
10745,2
10746,1
10747,1
10748,1
10749,2
10750,2
10751,1
10752,0
10753,1
10754,1
10755,2
10756,1
10757,1
10758,0
10759,2
10760,0
10761,1
10762,1
10763,2
10764,1
10765,2
10766,2
10767,1
10768,1
10769,0
10770,0
10771,2
10772,0
10773,2
10774,1
10775,1
10776,0
10777,1
10778,1
10779,1
10780,0
10781,0
10782,2
10783,1
10784,1
10785,0
10786,1
10787,2
10788,2
10789,0
10790,2
10791,1
10792,2
10793,1
10794,0
10795,0
10796,0
10797,1
10798,2
10799,1
10800,0
10801,1
10802,0
10803,0
10804,0
10805,1
10806,1
10807,0
10808,0
10809,2
10810,0
10811,1
10812,0
10813,1
10814,1
10815,1
10816,0
10817,0
10818,1
10819,1
10820,0
10821,1
10822,0
10823,0
10824,0
10825,2
10826,0
10827,2
10828,1
10829,0
10830,1
10831,1
10832,1
10833,1
10834,1
10835,1
10836,1
10837,1
10838,1
10839,0
10840,0
10841,1
10842,0
10843,2
10844,2
10845,1
10846,1
10847,1
10848,1
10849,1
10850,1
10851,1
10852,2
10853,1
10854,1
10855,2
10856,1
10857,0
10858,0
10859,2
10860,0
10861,1
10862,1
10863,2
10864,2
10865,0
10866,1
10867,1
10868,0
10869,1
10870,1
10871,0
10872,2
10873,1
10874,2
10875,0
10876,1
10877,0
10878,1
10879,1
10880,2
10881,1
10882,1
10883,2
10884,2
10885,0
10886,1
10887,2
10888,1
10889,1
10890,0
10891,1
10892,1
10893,2
10894,0
10895,1
10896,1
10897,1
10898,0
10899,1
10900,2
10901,1
10902,1
10903,2
10904,2
10905,0
10906,2
10907,1
10908,0
10909,1
10910,2
10911,0
10912,1
10913,0
10914,1
10915,1
10916,2
10917,1
10918,2
10919,1
10920,1
10921,1
10922,2
10923,1
10924,0
10925,2
10926,1
10927,1
10928,0
10929,2
10930,1
10931,1
10932,2
10933,2
10934,1
10935,2
10936,1
10937,0
10938,1
10939,1
10940,2
10941,0
10942,2
10943,1
10944,1
10945,2
10946,2
10947,1
10948,0
10949,1
10950,0
10951,0
10952,2
10953,1
10954,2
10955,2
10956,1
10957,2
10958,0
10959,1
10960,0
10961,1
10962,2
10963,2
10964,0
10965,2
10966,1
10967,0
10968,0
10969,2
10970,0
10971,1
10972,0
10973,1
10974,0
10975,1
10976,0
10977,1
10978,1
10979,1
10980,0
10981,1
10982,1
10983,1
10984,1
10985,0
10986,1
10987,1
10988,0
10989,2
10990,0
10991,0
10992,2
10993,1
10994,2
10995,0
10996,1
10997,1
10998,1
10999,1
11000,2
11001,0
11002,2
11003,2
11004,0
11005,2
11006,1
11007,1
11008,0
11009,0
11010,1
11011,2
11012,0
11013,1
11014,2
11015,1
11016,0
11017,1
11018,0
11019,0
11020,1
11021,1
11022,2
11023,0
11024,2
11025,1
11026,1
11027,1
11028,1
11029,0
11030,0
11031,1
11032,1
11033,1
11034,1
11035,1
11036,0
11037,0
11038,1
11039,2
11040,0
11041,2
11042,0
11043,2
11044,1
11045,2
11046,0
11047,2
11048,0
11049,0
11050,1
11051,0
11052,1
